IDMancha;com;cobv
348;1;10.00
348;9;10.00
348;14;20.00
348;21;20.00
348;28;40.00
349;1;10.00
349;9;15.00
349;14;30.00
349;25;5.00
349;28;40.00
353;7;75.00
353;9;5.00
353;21;10.00
353;25;10.00
354;1;5.00
354;9;15.00
354;14;60.00
354;28;20.00
355;7;65.00
355;21;20.00
355;23;10.00
355;25;5.00
356;5;10.00
356;7;50.00
356;21;40.00
357;1;20.00
357;4;5.00
357;8;5.00
357;9;20.00
357;14;20.00
357;17;5.00
357;21;10.00
357;28;15.00
358;1;20.00
358;9;35.00
358;17;10.00
358;20;5.00
358;28;30.00
359;1;10.00
359;9;10.00
359;21;20.00
359;28;60.00
361;1;20.00
361;4;20.00
361;9;10.00
361;18;15.00
361;28;25.00
361;29;10.00
363;3;90.00
363;5;5.00
363;30;5.00
364;1;20.00
364;4;5.00
364;9;25.00
364;14;20.00
364;28;30.00
365;24;30.00
365;30;70.00
368;8;90.00
368;21;5.00
368;32;5.00
369;7;90.00
369;27;10.00
370;7;80.00
370;27;20.00
371;6;35.00
371;9;10.00
371;13;35.00
371;16;5.00
371;28;10.00
371;39;5.00
372;18;100.00
373;5;80.00
373;6;20.00
376;5;80.00
376;6;20.00
377;1;5.00
377;2;5.00
377;9;15.00
377;17;5.00
377;21;30.00
377;23;10.00
377;28;30.00
378;3;85.00
378;5;5.00
378;9;5.00
378;10;5.00
379;3;15.00
379;9;10.00
379;16;70.00
380;1;10.00
380;7;10.00
380;9;20.00
380;28;60.00
381;1;5.00
381;9;5.00
381;14;85.00
381;28;5.00
382;1;10.00
382;9;20.00
382;17;5.00
382;20;5.00
382;21;40.00
382;23;10.00
382;28;10.00
383;1;10.00
383;9;20.00
383;17;5.00
383;20;5.00
383;21;40.00
383;23;10.00
383;28;10.00
384;1;5.00
384;21;80.00
384;23;10.00
384;28;5.00
385;1;5.00
385;9;10.00
385;17;5.00
385;20;5.00
385;21;40.00
385;23;30.00
385;28;5.00
386;1;10.00
386;9;10.00
386;21;40.00
386;23;30.00
386;28;10.00
387;1;5.00
387;9;5.00
387;17;5.00
387;20;5.00
387;21;40.00
387;23;30.00
387;28;10.00
388;1;10.00
388;9;10.00
388;20;5.00
388;21;40.00
388;23;25.00
388;28;10.00
389;1;10.00
389;9;10.00
389;20;5.00
389;21;40.00
389;23;25.00
389;28;10.00
390;1;5.00
390;9;20.00
390;17;5.00
390;20;5.00
390;21;20.00
390;23;20.00
